Name;Group;Indication
lutetium (177Lu) chloride;Therapeutic radiopharmaceuticals;Lutetium (177Lu) chloride Billev is a radiopharmaceutical precursor, and it is not intended for direct use in patients. It is to be used only for the radiolabelling of carrier molecules that have been specifically developed and authorised for radiolabelling with lutetium (177Lu) chloride.
osimertinib;"Other antineoplastic agents;Protein kinase inhibitors";TAGRISSO as monotherapy is indicated for:  the adjuvant treatment after complete tumour resection in adult patients with stage IB-IIIA non-small cell lung cancer (NSCLC) whose tumours have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations (see section 5.1). the treatment of adult patients with locally advanced, unresectable NSCLC whose tumours have EGFR exon 19 deletions or exon 21 (L858R) substitution mutations and whose disease has not progressed during or following platinum‑based chemoradiation therapy. the first-line treatment of adult patients with locally advanced or metastatic NSCLC with activating EGFR mutations. the treatment of adult patients with locally advanced or metastatic EGFR T790M mutation-positive NSCLC.  TAGRISSO is indicated in combination with:  pemetrexed and platinum-based chemotherapy for the first-line treatment of adult patients with advanced NSCLC whose tumours have EGFR exon 19 deletions or exon 21 (L858R) substitution mutations.
polihexanide;Ophthalmologicals;Akantior is indicated for the treatment of Acanthamoeba keratitis in adults and children from 12 years of age.
duloxetine;Other antidepressants;Treatment depressive disorder, diabetic neuropathic pain, anxiety disorder. Duloxetine Zentiva is indicated in adults.
pomalidomide;Immunosuppressants;"Pomalidomide Teva in combination with bortezomib and dexamethasone is indicated in the treatment of adult patients with multiple myeloma who have received at least one prior treatment regimen including lenalidomide. Pomalidomide Teva in combination with dexamethasone is indicated in the treatment of adult patients with relapsed and refractory multiple myeloma who have received at least two prior treatment regimens, including both lenalidomide and bortezomib, and have demonstrated disease progression on the last therapy.&nbsp;"
"insulin degludec;liraglutide";Drugs used in diabetes;Xultophy is indicated for the treatment of adults with type-2 diabetes mellitus to improve glycaemic control in combination with oral glucose-lowering medicinal products when these alone or combined with a GLP-1 receptor agonist or basal insulin do not provide adequate glycaemic control.
follitropin beta;Sex hormones and modulators of the genital system;"In the female: Puregon is indicated for the treatment of female infertility in the following clinical situations:  anovulation (including polycystic ovarian syndrome, PCOS) in women who have been unresponsive to treatment with clomifene citrate; controlled ovarian hyperstimulation to induce the development of multiple follicles in medically assisted reproduction programs (e.g. in-vitro fertilisation / embryo transfer (IVF/ET), gamete intrafallopian transfer (GIFT) and intracytoplasmic sperm injection (ICSI)).  In the male:  Deficient spermatogenesis due to hypogonadotrophic hypogonadism."
paclitaxel;Antineoplastic agents;Naveruclif monotherapy is indicated for the treatment of metastatic breast cancer in adult patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline containing therapy is not indicated (see section 4.4). Naveruclif in combination with gemcitabine is indicated for the first-line treatment of adult patients with metastatic adenocarcinoma of the pancreas. Naveruclif in combination with carboplatin is indicated for the first-line treatment of non-small cell lung cancer in adult patients who are not candidates for potentially curative surgery and/or radiation therapy.
nonacog gamma;Antihemorrhagics;Treatment and prophylaxis of bleeding in patients with haemophilia B (congenital factor IX deficiency).
eflornithine;Other dermatological preparations;Treatment of facial hirsutism in women.
human papillomavirus vaccine [types 16, 18] (recombinant, adjuvanted, adsorbed);Vaccines;Cervarix is a vaccine for use from the age of 9 years for the prevention of premalignant ano-genital lesions (cervical, vulvar, vaginal and anal) and cervical and anal cancers causally related to certain oncogenic Human Papillomavirus (HPV) types. See sections 4.4 and 5.1 for important information on the data that support this indication. The use of Cervarix should be in accordance with official recommendations.
ospemifene;Sex hormones and modulators of the genital system;Senshio is indicated for the treatment of moderate to severe symptomatic vulvar and vaginal atrophy (VVA) in post-menopausal women.
"ertugliflozin;sitagliptin";"Drugs used in diabetes;Combinations of oral blood glucose lowering drugs";Steglujan is indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control:  when metformin and/or a sulphonylurea (SU) and one of the monocomponents of Steglujan do not provide adequate glycaemic control. in patients already being treated with the combination of ertugliflozin and sitagliptin as separate tablets.
cipaglucosidase alfa;Other alimentary tract and metabolism products;Pombiliti (cipaglucosidase alfa) is a long-term enzyme replacement therapy used in combination with the enzyme stabiliser miglustat for the treatment of adults with late-onset Pompe disease (acid ?-glucosidase [GAA] deficiency).
tecovirimat monohydrate;Antivirals for systemic use;Tecovirimat SIGA is indicated for the treatment of the following viral infections in adults and children with body weight at least 13 kg:  Smallpox Monkeypox Cowpox  Tecovirimat SIGA is also indicated to treat complications due to replication of vaccinia virus following vaccination against smallpox in adults and children with body weight at least 13 kg (see sections 4.4 and 5.1). Tecovirimat SIGA should be used in accordance with official recommendations.
pegzilarginase;Other alimentary tract and metabolism products;Loargys is indicated for the treatment of arginase 1 deficiency (ARG1 D), also known as hyperargininemia, in adults, adolescents and children aged 2 years and older.
dapagliflozin;Drugs used in diabetes;"Type 2 diabetes mellitus Dapagliflozin Viatris is indicated in adults and children aged 10 years and above for the treatment of insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise - as monotherapy when metformin is considered inappropriate due to intolerance. - in addition to other medicinal products for the treatment of type 2 diabetes. For study results with respect to combination of therapies, effects on glycaemic control, cardiovascular and renal events, and the populations studied, see sections 4.4, 4.5 and 5.1. Heart failure Dapagliflozin Viatris is indicated in adults for the treatment of symptomatic chronic heart failure with reduced ejection fraction. Chronic kidney disease Dapagliflozin Viatris is indicated in adults for the&nbsp;treatment of chronic kidney disease."
exenatide;Drugs used in diabetes;Bydureon is indicated in adults 18 years and older with type 2 diabetes mellitus to improve glycaemic control in combination with other glucose lowering medicinal products when the therapy in use, together with diet and exercise, does not provide adequate glycaemic control (see section 4.4, 4.5 and 5.1 for available data on different combinations). Bydureon is indicated for treatment of type 2 diabetes mellitus in combination with:  Metformin Sulphonylurea Thiazolidinedione Metformin and sulphonylurea Metformin and thiazolidinedione  in adults who have not achieved adequate glycaemic control on maximally tolerated doses of these oral therapies.
idarucizumab;All other therapeutic products;"Praxbind is a specific reversal agent for dabigatran and is indicated in adult patients treated with Pradaxa (dabigatran etexilate) when rapid reversal of its anticoagulant effects is required:  for emergency surgery/urgent procedures; in life-threatening or uncontrolled bleeding."
oritavancin;Antibacterials for systemic use;Tenkasi is indicated for the treatment of acute bacterial skin and skin structure infections (ABSSSI) in adults and paediatric patients aged 3 months and older (see sections 4.2, 4.4 and 5.1). Consideration should be given to official guidance on the appropriate use of antibacterial agents.
pegunigalsidase alfa;Other alimentary tract and metabolism products;Elfabrio is indicated for long-term enzyme replacement therapy in adult patients with a confirmed diagnosis of Fabry disease (deficiency of alpha-galactosidase).
"bimatoprost;timolol";Ophthalmologicals;Reduction of intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension who are insufficiently responsive to topical beta-blockers or prostaglandin analogues.
bimatoprost;"Prostaglandin analogues;Ophthalmologicals";Reduction of elevated intraocular pressure in chronic open-angle glaucoma and ocular hypertension (as monotherapy or as adjunctive therapy to beta-blockers).
ioflupane (123I);Diagnostic radiopharmaceuticals;"This medicinal product is for diagnostic use only. Celsunax is indicated for detecting loss of functional dopaminergic neuron terminals in the striatum:  In adult patients with clinically uncertain parkinsonian syndromes, for example those with early symptoms, in order to help differentiate essential tremor from parkinsonian syndromes related to idiopathic Parkinson’s disease, multiple system atrophy and progressive supranuclear palsy.&nbsp;Celsunax is unable to discriminate between Parkinson's disease, multiple system atrophy and progressive supranuclear palsy. In adult patients, to help differentiate probable dementia with Lewy bodies from Alzheimer’s disease.&nbsp;Celsunax is unable to discriminate between dementia with Lewy bodies and Parkinson’s disease dementia."
voretigene neparvovec;Other ophthalmologicals;Luxturna is indicated for the treatment of adult and paediatric patients with vision loss due to inherited retinal dystrophy caused by confirmed biallelic RPE65 mutations and who have sufficient viable retinal cells.
vonicog alfa;Antihemorrhagics;Prevention and treatment of haemorrhage or surgical bleeding in adults (age 18 years and older) with von Willebrand disease (VWD), when desmopressin (DDAVP) treatment alone is ineffective or contraindicated. Veyvondi should not be used in the treatment of Haemophilia A.
paclitaxel;Antineoplastic agents;Pazenir monotherapy is indicated for the treatment of metastatic breast cancer in adult patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline containing therapy is not indicated. Pazenir in combination with carboplatin is indicated for the first-line treatment of non-small cell lung cancer in adult patients who are not candidates for potentially curative surgery and/or radiation therapy.
midazolam;Psycholeptics;Treatment of prolonged, acute, convulsive seizures in infants from 3 months to adults.BUCCOLAM must only be used by parents/carers where the patient has been diagnosed to have epilepsy.For infants between 3-6 months of age treatment should be in a hospital setting where monitoring is possible and resuscitation equipment is available. See section 4.2.
paclitaxel;Antineoplastic agents;Apexelsin monotherapy is indicated for the treatment of metastatic breast cancer in adult patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline containing therapy is not indicated. Apexelsin in combination with gemcitabine is indicated for the first-line treatment of adult patients with metastatic adenocarcinoma of the pancreas. Apexelsin in combination with carboplatin is indicated for the first-line treatment of non-small cell lung cancer in adult patients who are not candidates for potentially curative surgery and/or radiation therapy.
"phenylephrine;ketorolac";Ophthalmologicals;Omidria is indicated in adults for maintenance of intraoperative mydriasis, prevention of intraoperative miosis and reduction of acute postoperative ocular pain in intraocular lens replacement surgery.
exenatide;Drugs used in diabetes;"Byetta is indicated for treatment of type-2 diabetes mellitus in combination with:  metformin; sulphonylureas; thiazolidinediones; metformin and a sulphonylurea; metformin and a thiazolidinedione;  in adults who have not achieved adequate glycaemic control on maximally tolerated doses of these oral therapies. Byetta is also indicated as adjunctive therapy to basal insulin with or without metformin and / or pioglitazone in adults who have not achieved adequate glycaemic control with these agents."
eravacycline;Antibacterials for systemic use;Xerava is indicated for the treatment of complicated intra-abdominal infections (cIAI) in adults. Consideration should be given to official guidance on the appropriate use of antibacterial agents.
paclitaxel;Antineoplastic agents;Abraxane monotherapy is indicated for the treatment of metastatic breast cancer in adult patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline containing therapy is not indicated. Abraxane in combination with gemcitabine is indicated for the first-line treatment of adult patients with metastatic adenocarcinoma of the pancreas. Abraxane in combination with carboplatin is indicated for the first-line treatment of non-small cell lung cancer in adult patients who are not candidates for potentially curative surgery and/or radiation therapy.
zoonotic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted);Vaccines;"Active immunisation against H5N1 subtype of Influenza A virus in individuals 6 months of age and above.&nbsp;Aflunov should be used in accordance with official recommendations."
dabigatran etexilate;Antithrombotic agents;"Pradaxa 75 mg  Primary prevention of venous thromboembolic events in adult patients who have undergone elective total hip replacement surgery or total knee replacement surgery.  Pradaxa 110 mg  Primary prevention of venous thromboembolic events in adult patients who have undergone elective total hip replacement surgery or total knee replacement surgery. Prevention of stroke and systemic embolism in adult patients with non-valvular atrial fibrillation (NVAF), with one or more risk factors, such as prior stroke or transient ischemic attack (TIA); age ≥ 75 years; heart failure (NYHA Class ≥ II); diabetes mellitus; hypertension. Treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE), and prevention of recurrent DVT and PE in adults.  Pradaxa 150 mg  Prevention of stroke and systemic embolism in adult patients with non-valvular atrial fibrillation (NVAF), with one or more risk factors, such as prior stroke or transient ischemic attack (TIA); age ≥ 75 years; heart failure (NYHA Class ≥ II); diabetes mellitus; hypertension. Treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE), and prevention of recurrent DVT and PE in adults."
dapagliflozin;Drugs used in diabetes;Type 2 diabetes mellitus Forxiga is indicated in adults and children aged 10 years and above for the treatment of insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise  as monotherapy when metformin is considered inappropriate due to intolerance. in addition to other medicinal products for the treatment of type 2 diabetes.  For study results with respect to combination of therapies, effects on glycaemic control, cardiovascular and renal events, and the populations studied, see sections 4.4, 4.5 and 5.1. Heart failure Forxiga is indicated in adults for the treatment of symptomatic chronic heart failure. Chronic kidney disease Forxiga is indicated in adults for the treatment of chronic kidney disease.
dapagliflozin;Drugs used in diabetes;Type 2 diabetes mellitus Edistride is indicated in adults and children aged 10 years and above for the treatment of insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise  as monotherapy when metformin is considered inappropriate due to intolerance. in addition to other medicinal products for the treatment of type 2 diabetes.  For study results with respect to combination of therapies, effects on glycaemic control, cardiovascular and renal events, and the populations studied, see sections 4.4, 4.5 and 5.1. Heart failure Edistride is indicated in adults for the treatment of symptomatic chronic heart failure. Chronic kidney disease Edistride is indicated in adults for the treatment of chronic kidney disease.
doravirine;Antivirals for systemic use;Pifeltro is indicated, in combination with other antiretroviral medicinal products, for the treatment of adults, and adolescents aged 12 years and older weighing at least 35 kg infected with HIV 1 without past or present evidence of resistance to the NNRTI class.
padeliporfin;Antineoplastic agents;"Tookad is indicated as monotherapy for adult patients with previously untreated, unilateral, low risk, adenocarcinoma of the prostate with a life expectancy ? 10 years and:  Clinical stage T1c or T2a; Gleason Score ? 6, based on high-resolution biopsy strategies; PSA ? 10 ng/mL; 3 positive cancer cores with a maximum cancer core length of 5 mm in any one core or 1-2 positive cancer cores with ? 50 % cancer involvement in any one core or a PSA density ? 0.15 ng/mL/cm³."
miglustat;Other alimentary tract and metabolism products;Zavesca is indicated for the oral treatment of adult patients with mild to moderate type-1 Gaucher disease. Zavesca may be used only in the treatment of patients for whom enzyme replacement therapy is unsuitable. Zavesca is indicated for the treatment of progressive neurological manifestations in adult patients and paediatric patients with Niemann-Pick type-C disease.
lasmiditan;Analgesics;RAYVOW is indicated for the acute treatment of the headache phase of migraine attacks, with or without aura in adults.
"efavirenz;emtricitabine;tenofovir disoproxil";Antivirals for systemic use;"Efavirenz/Emtricitabine/Tenofovir disoproxil Mylan is a fixed-dose combination of efavirenz, emtricitabine and tenofovir disoproxil. It is indicated for the treatment of human immunodeficiency virus-1 (HIV-1) infection in adults aged 18 years and over with virologic suppression to HIV-1 RNA levels of &lt; 50 copies/ml on their current combination antiretroviral therapy for more than three months. Patients must not have experienced virological failure on any prior antiretroviral therapy and must be known not to have harboured virus strains with mutations conferring significant resistance to any of the three components contained in Efavirenz/Emtricitabine/Tenofovir disoproxil Mylan prior to initiation of their first antiretroviral treatment regimen. The demonstration of the benefit of efavirenz/emtricitabine/tenofovir disoproxil is primarily based on 48-week data from a clinical study in which patients with stable virologic suppression on a combination antiretroviral therapy changed to efavirenz/emtricitabine/tenofovir disoproxil (see section 5.1). No data are currently available from clinical studies with efavirenz/emtricitabine/tenofovir disoproxil in treatment-naïve or in heavily pretreated patients. No data are available to support the combination of efavirenz/emtricitabine/tenofovir disoproxil and other antiretroviral agents."
palbociclib;Antineoplastic agents;"Ibrance is indicated for the treatment of hormone receptor (HR) positive, human epidermal growth factor receptor 2 (HER2) negative locally advanced or metastatic breast cancer:  in combination with an aromatase inhibitor; in combination with fulvestrant in women who have received prior endocrine therapy.  In pre- or perimenopausal women, the endocrine therapy should be combined with a luteinizing hormone releasing hormone (LHRH) agonist."
cenegermin;Ophthalmologicals;Treatment of moderate (persistent epithelial defect) or severe (corneal ulcer) neurotrophic keratitis in adults
"insulin glargine;lixisenatide";Drugs used in diabetes;Suliqua is indicated for the treatment of adults with insufficiently controlled type 2 diabetes mellitus to improve glycaemic control as an adjunct to diet and exercise in addition to metformin with or without SGLT-2 inhibitors.
olanzapine;Psycholeptics;Maintenance treatment of adult patients with schizophrenia sufficiently stabilised during acute treatment with oral olanzapine.
bosentan;Antihypertensives;"Treatment of pulmonary arterial hypertension (PAH) to improve exercise capacity and symptoms in patients with WHO functional class III.Efficacy has been shown in:  Primary (idiopathic and familial) PAH; PAH secondary to scleroderma without significant interstitial pulmonary disease; PAH associated with congenital systemic-to-pulmonary shunts and Eisenmenger's physiology.  Some improvements have also been shown in patients with PAH WHO functional class II. Tracleer is also indicated to reduce the number of new digital ulcers in patients with systemic sclerosis and ongoing digital ulcer disease."
panitumumab;Antineoplastic agents;Vectibix is indicated for the treatment of adult patients with wild-type RAS metastatic colorectal cancer (mCRC):  in first-line in combination with Folfox or Folfiri. in second-line in combination with Folfiri for patients who have received first-line fluoropyrimidine-based chemotherapy (excluding irinotecan). as monotherapy after failure of fluoropyrimidine-, oxaliplatin-, and irinotecan-containing chemotherapy regimens.
panobinostat;Antineoplastic agents;Farydak, in combination with bortezomib and dexamethasone, is indicated for the treatment of adult patients with relapsed and/or refractory multiple myeloma who have received at least two prior regimens including bortezomib and an immunomodulatory agent. Farydak, in combination with bortezomib and dexamethasone, is indicated for the treatment of adult patients with relapsed and/or refractory multiple myeloma who have received at least two prior regimens including bortezomib and an immunomodulatory agent.
bosentan monohydrate;Other antihypertensives;"Treatment of pulmonary arterial hypertension (PAH) to improve exercise capacity and symptoms in patients with World Health Organization (WHO) functional class III. Efficacy has been shown in:  primary (idiopathic and familial) PAH; PAH secondary to scleroderma without significant interstitial pulmonary disease; PAH associated with congenital systemic-to-pulmonary shunts and Eisenmenger’s physiology.  Some improvements have also been shown in patients with PAH WHO functional class II. Stayveer is also indicated to reduce the number of new digital ulcers in patients with systemic sclerosis and ongoing digital-ulcer disease."
florbetapir (18F);Diagnostic radiopharmaceuticals;This medicinal product is for diagnostic use only. Amyvid is a radiopharmaceutical indicated for Positron Emission Tomography (PET) imaging of ?-amyloid neuritic plaque density in the brains of adult patients with cognitive impairment who are being evaluated for Alzheimer’s disease (AD) and other causes of cognitive impairment. Amyvid should be used in conjunction with a clinical evaluation. A negative scan indicates sparse or no plaques, which is not consistent with a diagnosis of AD.
abiraterone;Endocrine therapy;Zytiga is indicated with prednisone or prednisolone for:  the treatment of metastatic castration resistant prostate cancer in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated the treatment of metastatic castration resistant prostate cancer in adult men whose disease has progressed on or after a docetaxel based chemotherapy regimen.
pazopanib;Antineoplastic agents;Renal-cell carcinoma (RCC) Votrient is indicated in adults for the first-line treatment of advanced renal-cell carcinoma (RCC) and for patients who have received prior cytokine therapy for advanced disease. Soft-tissue sarcoma (STS) Votrient is indicated for the treatment of adult patients with selective subtypes of advanced soft-tissue sarcoma (STS) who have received prior chemotherapy for metastatic disease or who have progressed within 12 months after (neo)adjuvant therapy. Efficacy and safety have only been established in certain STS histological tumour subtypes.
pegaspargase;Antineoplastic agents;Oncaspar is indicated as a component of antineoplastic combination therapy in acute lymphoblastic leukaemia (ALL) in paediatric patients from birth to 18 years, and adult patients.
pregabalin;Antiepileptics;Neuropathic pain  Pregabalin Zentiva is indicated for the treatment of peripheral and central neuropathic pain in adults.  Epilepsy  Pregabalin Zentiva is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation.  Generalised anxiety disorder  Pregabalin Zentiva is indicated for the treatment of generalised anxiety disorder (GAD) in adults.
laronidase;Other alimentary tract and metabolism products;"Aldurazyme is indicated for long-term enzyme replacement therapy in patients with a confirmed diagnosis of mucopolysaccharidosis I (MPS I; alpha-L-iduronidase deficiency) to treat the nonneurological manifestations of the disease."
pembrolizumab;Antineoplastic agents;"Melanoma Keytruda as monotherapy is indicated for the treatment of adults and adolescents aged 12 years and older with advanced (unresectable or metastatic) melanoma. Keytruda&nbsp;as monotherapy is indicated for the adjuvant treatment of adults and adolescents aged 12 years and older with Stage IIB, IIC, or with Stage III melanoma and lymph node involvement who have undergone complete resection. Non small cell lung carcinoma (NSCLC) Keytruda, in combination with platinum-containing chemotherapy as neoadjuvant treatment, and then continued as monotherapy as adjuvant treatment, is indicated for the treatment of resectable non small cell lung carcinoma at high risk of recurrence in adults Keytruda as monotherapy is indicated for the adjuvant treatment of adults with non-small cell lung carcinoma who are at high risk of recurrence following complete resection and platinum based chemotherapy (for selection criteria, see section 5.1). Keytruda&nbsp;as monotherapy is indicated for the first line treatment of metastatic non small cell lung carcinoma in adults whose tumours express PD L1 with a ≥ 50% tumour proportion score (TPS) with no EGFR or ALK positive tumour mutations. Keytruda, in combination with pemetrexed and platinum chemotherapy, is indicated for the first-line treatment of metastatic non squamous non small cell lung carcinoma in adults whose tumours have no EGFR or ALK positive mutations. Keytruda, in combination with carboplatin and either paclitaxel or nab paclitaxel, is indicated for the first line treatment of metastatic squamous non small cell lung carcinoma in adults. Keytruda&nbsp; as monotherapy is indicated for the treatment of locally advanced or metastatic non small cell lung carcinoma in adults whose tumours express PD L1 with a&nbsp;≥ 1% TPS and who have received at least one prior chemotherapy regimen. Patients with EGFR or ALK positive tumour mutations should also have received targeted therapy before receiving KEYTRUDA. Malignant pleural mesothelioma (MPM) Keytruda, in combination with pemetrexed and platinum chemotherapy, is indicated for the first‑line treatment of adults with unresectable non-epithelioid malignant pleural mesothelioma. Classical Hodgkin lymphoma (cHL) Keytruda&nbsp;as monotherapy is indicated for the treatment of adult and paediatric patients aged 3 years and older with relapsed or refractory classical Hodgkin lymphoma who have failed autologous stem cell transplant (ASCT) or following at least two prior therapies when ASCT is not a treatment option. Urothelial carcinoma Keytruda as monotherapy is indicated for the treatment of locally advanced or metastatic urothelial carcinoma in adults who have received prior platinum containing chemotherapy.Keytruda as monotherapy is indicated for the treatment of locally advanced or metastatic urothelial carcinoma in adults who are not eligible for cisplatin containing chemotherapy and whose tumours express PD L1 with a combined positive score (CPS) ≥ 10. Head and neck squamous cell carcinoma (HNSCC) Keytruda, as monotherapy or in combination with platinum and 5 fluorouracil (5 FU) chemotherapy, is indicated for the first line treatment of metastatic or unresectable recurrent head and neck squamous cell carcinoma in adults whose tumours express PD L1 with a CPS ≥&nbsp;1. Keytruda&nbsp;as monotherapy is indicated for the treatment of recurrent or metastatic head and neck squamous cell carcinoma in adults whose tumours express PD L1 with a ? 50% TPS and progressing on or after platinum containing chemotherapy. Renal cell carcinoma (RCC) Keytruda, in combination with axitinib, is indicated for the first line treatment of advanced renal cell carcinoma in adults. Keytruda, in combination with lenvatinib, is indicated for the first line treatment of advanced renal cell carcinoma in adults. Keytruda as monotherapy is indicated for the adjuvant treatment of adults with renal cell carcinoma at increased risk of recurrence following nephrectomy, or following nephrectomy and resection of metastatic lesions (for selection criteria, please see section 5.1). Microsatellite instability high (MSI-H) or mismatch repair deficient (dMMR) cancers Colorectal cancer (CRC)Keytruda&nbsp;as monotherapy is indicated for theadults with MSI-H or dMMR colorectal cancer in the following settings:  first line treatment of metastatic microsatellite instability high (MSI H) or mismatch repair deficient (dMMR) colorectal cancer in adults; treatment of unresectable or metastatic colorectal cancer after previous fluoropyrimidine based combination therapy.&nbsp;  Non-colorectal cancersKeytruda&nbsp;as monotherapy is indicated for the treatment of the following MSI H or dMMR tumours in adults with:  advanced or recurrent endometrial carcinoma, who have disease progression on or following prior treatment with a platinum containing therapy in any setting and who are not candidates for curative surgery or radiation; unresectable or metastatic gastric, small intestine, or biliary cancer, who have disease progression on or following at least one prior therapy.  Oesophageal carcinoma Keytruda, in combination with platinum and fluoropyrimidine based chemotherapy, is indicated for the first-line treatment of locally advanced unresectable or metastatic carcinoma of the oesophagus in adults whose tumours express PD L1 with a CPS&nbsp;≥ 10. Triple negative breast cancer (TNBC) Keytruda, in combination with chemotherapy as neoadjuvant treatment, and then continued as monotherapy as adjuvant treatment after surgery, is indicated for the treatment of adults with locally advanced, or early stage triple negative breast cancer at high risk of recurrence. Keytruda, in combination with chemotherapy, is indicated for the treatment of locally recurrent unresectable or metastatic triple negative breast cancer in adults whose tumours express PD L1 with a CPS&nbsp;≥ 10 and who have not received prior chemotherapy for metastatic disease. Endometrial carcinoma (EC) Keytruda, in combination with carboplatin and paclitaxel, is indicated for the first-line treatment of primary advanced or recurrent endometrial carcinoma in adults who are candidates for systemic therapy.&nbsp; Keytruda, in combination with lenvatinib, is indicated for the treatment of advanced or recurrent endometrial carcinoma in adults who have disease progression on or following prior treatment with a platinum containing therapy in any setting and who are not candidates for curative surgery or radiation. Cervical cancer Keytruda, in combination with chemoradiotherapy (external beam radiation therapy followed by brachytherapy), is indicated for the treatment of FIGO 2014 Stage III - IVA locally advanced cervical cancer in adults who have not received prior definitive therapy.&nbsp; Keytruda, in combination with chemotherapy with or without bevacizumab, is indicated for the treatment of persistent, recurrent, or metastatic cervical cancer in adults whose tumours express PD L1 with a CPS&nbsp;≥ 1. Gastric or gastro-oesophageal junction (GEJ) adenocarcinoma Keytruda, in combination with trastuzumab, fluoropyrimidine and platinum-containing chemotherapy, is indicated for the first-line treatment of locally advanced unresectable or metastatic HER2-positive gastric or gastro-oesophageal junction adenocarcinoma in adults whose tumours express PD-L1 with a CPS ≥ 1. Keytruda, in combination with fluoropyrimidine and platinum-containing chemotherapy, is indicated for the first-line treatment of locally advanced unresectable or metastatic HER2-negative gastric or gastro-oesophageal junction adenocarcinoma in adults whose tumours express PD L1 with a CPS ≥ 1 (see section 5.1). Biliary tract carcinoma (BTC) Keytruda, in combination with gemcitabine and cisplatin, is indicated for the first-line treatment of locally advanced unresectable or metastatic biliary tract carcinoma in adults."
eptinezumab;Analgesics;Vyepti is indicated for the prophylaxis of migraine in adults who have at least 4 migraine days per month.
atazanavir sulfate;Antivirals for systemic use;Reyataz capsules, co-administered with low dose ritonavir, are indicated for the treatment of HIV-1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products (see section 4.2). Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors (? 4 PI mutations). The choice of Reyataz in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patient’s treatment history (see sections 4.4 and 5.1). Reyataz oral powder, co-administered with low dose ritonavir, is indicated in combination with other antiretroviral medicinal products for the treatment of HIV-1 infected paediatric patients at least 3 months of age and weighing at least 5 kg (see section 4.2). Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors (? 4 PI mutations). The choice of Reyataz in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patient’s treatment history (see sections 4.4 and 5.1).
pemetrexed;Antineoplastic agents;Malignant pleural mesothelioma Pemetrexed Pfizer in combination with cisplatin is indicated for the treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma. Non-small cell lung cancer Pemetrexed Pfizer in combination with cisplatin is indicated for the first-line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology. Pemetrexed Pfizer is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy. Pemetrexed Pfizer is indicated as monotherapy for the second-line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.
clopidogrel;Antithrombotic agents;"Secondary prevention of atherothrombotic events Clopidogrel is indicated in:  adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from seven days until less than six months) or established peripheral arterial disease; adult patients suffering from acute coronary syndrome:  non-ST-segment-elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA); ST-segment-elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.    Prevention of atherothrombotic and thromboembolic events in atrial fibrillation In adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with vitamin-K antagonists and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke. For further information please refer to section 5.1."
difelikefalin;All other therapeutic products;Kapruvia is indicated for the treatment of moderate-to-severe pruritus associated with chronic kidney disease in adult patients on haemodialysis (see section 5.1).
